Fecha Nacimiento;Nivel Educativo;Completo Nivel Educativo;Idioma;
1995-07-28;Secundaria;Completó;Inglés;
1995-07-28;Universitaria;En Curso;Inglés;
1995-07-28;Secundaria;Completó;Inglés;
1995-07-28;Universitaria;En Curso;Inglés;
1995-07-28;Secundaria;Completó;Portugues;
1995-07-28;Universitaria;En Curso;Portugues;
1995-07-28;Secundaria;Completó;Portugues;
1995-07-28;Universitaria;En Curso;Portugues;
1995-07-28;Secundaria;Completó;Portugues;
1995-07-28;Universitaria;En Curso;Portugues;
1979-11-24;Secundaria;Completó;Inglés;
1979-11-24;Secundaria;Completó;Inglés;
1979-11-24;Secundaria;Completó;Inglés;
1990-09-26;Universitaria;Completó;Inglés;
1990-09-26;Secundaria;Completó;Inglés;
1990-09-26;Universitaria;Completó;Inglés;
1990-09-26;Secundaria;Completó;Inglés;
1995-05-11;Primaria;Completó;Inglés;
1995-05-11;Secundaria;Completó;Inglés;
1995-05-11;Primaria;Completó;Inglés;
1995-05-11;Secundaria;Completó;Inglés;
1995-05-11;Primaria;Completó;Inglés;
1995-05-11;Secundaria;Completó;Inglés;
1994-06-01;Secundaria;Completó;Inglés;
1994-06-01;Primaria;Completó;Inglés;
1988-04-08;Primaria;Completó;Inglés;
1988-04-08;Secundaria;Completó;Inglés;
1988-04-08;Universitaria;Incompleto;Inglés;
1988-04-08;Primaria;Completó;Inglés;
1988-04-08;Secundaria;Completó;Inglés;
1988-04-08;Universitaria;Incompleto;Inglés;
1988-04-08;Primaria;Completó;Inglés;
1988-04-08;Secundaria;Completó;Inglés;
1988-04-08;Universitaria;Incompleto;Inglés;
1988-06-20;Secundaria;Completó;Inglés;
1988-06-20;Primaria;Completó;Inglés;
1988-06-20;Secundaria;Completó;Portugues;
1988-06-20;Primaria;Completó;Portugues;
1988-06-20;Secundaria;Completó;Portugues;
1988-06-20;Primaria;Completó;Portugues;
1988-06-20;Secundaria;Completó;Portugues;
1988-06-20;Primaria;Completó;Portugues;
1986-03-07;Universitaria;Completó;Inglés;
1986-03-07;Universitaria;Completó;Inglés;
1988-12-09;Primaria;Completó;Inglés;
1988-12-09;Secundaria;Completó;Inglés;
1988-12-09;Terciaria;Completó;Inglés;
1986-03-07;Universitaria;Completó;Inglés;
1986-03-07;Universitaria;Completó;Italiano;
1986-03-07;Universitaria;Completó;Italiano;
1986-03-07;Universitaria;Completó;Italiano;
1977-09-07;Secundaria;Completó;Inglés;
1977-09-07;Terciaria;Incompleto;Inglés;
1977-09-07;Secundaria;Completó;Inglés;
1977-09-07;Terciaria;Incompleto;Inglés;
1995-12-16;Secundaria;Completó;Francés;
1995-12-16;Secundaria;Completó;Francés;
1995-12-16;Secundaria;Completó;Inglés;
1995-12-16;Secundaria;Completó;Inglés;
1993-03-02;Primaria;Completó;Inglés;
1993-03-02;Secundaria;Incompleto;Inglés;
1993-03-02;Primaria;Completó;Inglés;
1993-03-02;Secundaria;Incompleto;Inglés;
1993-03-02;Primaria;Completó;Portugues;
1993-03-02;Secundaria;Incompleto;Portugues;
1993-03-02;Primaria;Completó;Portugues;
1993-03-02;Secundaria;Incompleto;Portugues;
1993-03-02;Primaria;Completó;Portugues;
1993-03-02;Secundaria;Incompleto;Portugues;
1994-12-05;Primaria;Completó;Inglés;
1994-12-05;Secundaria;Incompleto;Inglés;
1994-02-25;Secundaria;Incompleto;Inglés;
1957-07-25;Secundaria;Completó;Inglés;
1994-06-21;Primaria;Completó;Inglés;
1994-06-21;Secundaria;Completó;Inglés;
1994-01-04;Primaria;Completó;Inglés;
1994-01-04;Secundaria;Completó;Inglés;
1994-01-04;Terciaria;En Curso;Inglés;
1987-12-12;Primaria;Completó;Inglés;
1987-12-12;Secundaria;Completó;Inglés;
1987-12-12;Terciaria;Incompleto;Inglés;
1996-10-11;Primaria;Completó;Inglés;
1996-10-11;Secundaria;Incompleto;Inglés;
1987-12-12;Primaria;Completó;Inglés;
1987-12-12;Secundaria;Completó;Inglés;
1987-12-12;Terciaria;Incompleto;Inglés;
1996-10-11;Primaria;Completó;Inglés;
1996-10-11;Secundaria;Incompleto;Inglés;
1987-12-12;Primaria;Completó;Inglés;
1987-12-12;Secundaria;Completó;Inglés;
1987-12-12;Terciaria;Incompleto;Inglés;
1988-09-08;Secundaria;Completó;Inglés;
1988-09-08;Terciaria;En Curso;Inglés;
1988-09-08;Secundaria;Completó;Inglés;
1988-09-08;Terciaria;En Curso;Inglés;
1990-07-16;Terciaria;Completó;Inglés;
1990-07-16;Universitaria;Incompleto;Inglés;
1990-07-16;Terciaria;Completó;Inglés;
1990-07-16;Universitaria;Incompleto;Inglés;
